25-57-|90 0.318045
77-|25 1.814634
56-59-|81 0.000000
70-|51 1.074899
0-73-|87 2.450074
50-|33 1.802856
26-30-|35 0.675260
0-1-|60 1.709127
1-12-|84 6.456683
50-|16 4.396970
|72 6.276325
0-34-|81 2.981343
2-|98 3.400888
|23 1.427269
18-29-|67 0.849166
7-|24 1.427593
11-16-|90 0.469777
74-85-|24 1.427593
0-38-|78 1.297854
22-71-|68 0.214289
5-56-|89 2.696337
10-32-|11 5.081188
12-97-|77 4.747692
57-98-|78 1.297854
3-|6 1.164071
56-72-|94 1.744964
0-|91 2.124743
27-32-|69 1.077435
0-75-|46 2.434902
2-43-|84 5.305852
73-|89 4.928654
0-89-|77 3.894215
0-54-|45 0.736242
0-|83 7.370226
0-62-|87 0.282281
51-68-|23 1.141815
0-45-|50 3.714659
37-88-|51 0.004833
0-63-|31 1.000504
0-78-|42 1.743304
0-39-|81 3.726677
75-|36 2.899370
0-8-|35 2.438321
|35 3.055113
52-56-|89 2.696337
49-71-|9 2.055859
65-95-|64 2.573567
0-71-|82 1.498619
1-45-|67 3.216478
0-13-|82 1.235179
7-24-|36 2.899370
0-12-|54 0.250044
66-|3 2.803311
65-86-|30 3.915677
58-68-|45 1.289175
|85 5.095287
0-30-|80 2.253665
0-1-|94 4.223351
42-76-|49 1.241388
0-4-|93 0.576735
9-66-|66 0.000000
0-95-|66 0.596640
0-72-|76 1.189598
0-53-|97 1.930578
54-62-|37 0.919034
22-|65 1.249841
79-|23 1.141815
0-35-|57 2.027373
0-77-|16 4.029120
0-24-|50 3.714659
0-95-|68 1.174607
0-39-|49 0.993123
93-98-|73 0.920323
81-|63 1.393733
28-88-|19 4.909586
64-|94 2.388274
0-71-|91 2.039754
3-22-|92 1.164203
1-20-|31 1.000504
0-91-|55 0.647037
0-36-|47 0.338756
|95 6.019000
21-38-|40 1.244614
21-|91 0.842427
23-46-|35 0.680947
65-68-|7 1.708046
46-66-|80 1.944151
8-50-|40 1.245451
0-|70 4.308311
26-77-|30 0.493299
18-65-|88 0.021985
38-86-|13 0.565672
24-90-|7 1.366874
69-|63 2.198485
|20 7.677438
38-50-|10 1.847253
0-5-|13 4.318811
23-79-|59 2.190470
22-71-|60 1.841344
0-1-|68 1.235918
0-84-|23 1.141815
0-10-|31 1.000504
93-|9 2.055859
36-79-|75 2.610304
16-61-|19 0.000000
0-9-|68 1.174607
17-28-|83 2.258613
0-91-|26 2.261538
0-36-|94 4.223351
20-38-|18 2.273192
5-35-|47 0.338756
0-82-|17 1.123142
16-53-|50 2.060921
|14 1.118043
0-82-|59 1.346229
55-84-|10 1.898455
4-22-|74 4.181099
63-69-|63 0.000000
0-1-|64 7.381465
72-|97 1.927489
0-1-|7 1.708593
9-48-|75 3.556631
99-|85 3.150236
76-|31 1.000504
27-|10 2.497900
3-15-|42 1.743304
66-|31 1.000504
5-|33 1.802856
20-83-|71 0.389728
18-80-|20 5.893222
|8 1.679067
45-|1 9.650897
7-28-|79 0.347221
59-|82 4.968477
0-99-|21 0.862036
66-|37 1.328263
83-|44 1.339605
|13 5.437038
24-|61 2.875605
8-15-|10 2.823471
0-74-|48 0.628982
0-50-|43 1.897568
0-72-|69 0.801005
|36 3.624213
51-|76 3.665347
16-79-|46 2.039849
0-77-|24 1.713112
5-67-|31 1.248629
43-|40 1.555747
0-85-|74 5.747189
0-77-|3 2.699049
10-69-|85 2.634664
33-95-|82 4.796692
56-59-|37 1.328263
98-|93 0.579003
89-|78 1.297854
0-66-|93 0.155020
0-54-|93 0.576735
0-88-|65 1.256580
27-|42 1.743304
4-|22 2.894801
0-26-|71 7.540639
89-94-|94 0.000000
15-53-|20 1.451193
0-1-|36 3.458052
74-|87 1.247161
48-89-|64 3.001610
6-26-|85 4.076229
0-70-|79 3.072603
19-82-|33 1.802856
38-|24 1.386993
1-|20 7.611278
27-92-|38 2.004098
41-|52 1.263730
0-71-|79 0.717585
38-|95 2.803952
0-15-|44 0.000000
